Date,First case,Jan 4,Feb 1,Mar 1,Apr 1,May 1,Jun 1,Jul 1,Aug 1,Sep 1,Oct 1,Nov 1,Dec 1


World,,1,"11,963","87,141","823,626","3,175,207","6,057,853","10,357,662","17,396,943","25,356,942","33,846,093","45,968,798","62,844,837
"
Days to double,,1,4,19,8,21,33,39,42,51,63,71,"70
"
Countries and territories,,1,22,58,204,213,214,214,214,214,214,217,"218
"
 USA,"January 21, 2020",0,7,62,"213,199","1,035,353","1,734,040","2,573,393","4,456,389","5,936,572","7,115,491","8,952,086","13,234,551
"
 India,"January 30, 2020",0,1,3,"1,636","35,043","190,535","585,493","1,695,988","3,691,166","6,312,584","8,184,082","9,462,809
"
 Brazil,"February 25, 2020",0,0,2,"4,579","78,162","498,440","1,368,195","2,610,102","3,862,311","4,777,522","5,516,658","6,314,740
"
 France,"January 31, 2020",0,6,100,"51,347","128,121","148,000","157,405","175,843","264,000","538,000","1,330,000","2,183,275
"
 Russia,"January 26, 2020",0,2,2,"2,477","114,121","418,524","654,194","845,920","1,000,953","1,185,290","1,630,808","2,322,056
"
 Spain,"February 1, 2020",0,1,45,"154,417","213,435","239,801","249,271","288,522","468,242","769,188","1,185,678","1,648,187
"
 UK,"February 1, 2020",0,2,23,"25,154","171,257","274,766","312,658","303,185","335,877","453,268","1,011,664","1,629,661
"
 Italy,"January 30, 2020",0,2,"11,000","173,000","205,463","233,019","240,578","247,537","269,214","314,861","679,430","1,601,554
"
 Argentina,"March 3, 2020",0,0,0,966,"4,304","16,214","62,268","185,373","408,426","736,609","1,157,179","1,418,807
"
 Colombia,"March 7, 2020",0,0,0,798,"6,211","28,236","95,043","286,020","607,938","824,042","1,063,151","1,308,376
"
 Mexico,"February 29, 2020",0,0,2,"1,094","17,799","87,512","220,657","416,179","595,841","738,163","918,811","1,107,071
"
 Germany,"January 27, 2020",0,7,57,"67,366","159,119","181,815","194,725","209,653","243,599","291,722","532,930","1,067,473
"
 Poland,"March 4, 2020",0,0,0,"2,311","12,877","23,786","34,393","45,688","67,372","91,514","362,731","990,811
"
 Peru,"March 7, 2020",0,0,0,"1,065","33,931","155,671","282,365","407,492","647,166","811,768","900,180","962,530
"
 Iran,"February 6, 2020",0,0,593,"44,606","94,640","151,466","227,662","304,204","375,212","457,219","612,772","962,070
"
 South Africa,"March 6, 2020",0,0,0,"1,353","5,647","32,683","151,209","493,183","627,041","674,339","725,452","790,004
"
 Ukraine,"March 3, 2020",0,0,0,669,"10,861","24,012","44,998","71,056","123,303","213,028","395,440","745,123
"
 Belgium,"February 5, 2020",0,0,1,"12,775","48,519","58,381","61,509","68,658","85,769","120,965","445,795","577,249
"
 Iraq,"February 25, 2020",0,0,13,694,"2,085","6,439","49,109","124,609","234,934","362,981","472,630","552,549
"
 Chile,"March 4, 2020",0,0,0,"2,738","16,023","99,688","279,393","355,667","411,726","462,991","510,256","551,743
"
 Indonesia,"March 2, 2020",0,0,0,"1,528","10,118","26,473","56,385","108,376","174,796","287,008","410,088","538,883
"
 Czech Republic,"March 2, 2020",0,0,0,"3,308","7,682","9,273","11,954","16,574","24,618","68,919","335,102","523,298
"
